Timestamp,Merchant,Amount,MCC,Category,Tag,Comment,Reimbursable,"Original Currency","Original Amount",Receipt
"2016-12-12 00:00:00",Uber,18.68,0,"Local Transportation","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance","Uber DFW to office",yes,USD,18.68,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002483&amount=-1868&created=2016-12-12
"2016-12-12 00:00:00","American Airlines",747.20,0,"Airfare & Upgrades","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Travel",Flight,yes,USD,747.20,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002484&amount=-74720&created=2016-12-12
"2016-12-12 00:00:00","Post Oak Smoke House",18.13,0,"Business Meals","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance",Lunch,yes,USD,18.13,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002496&amount=-1813&created=2016-12-12
"2016-12-12 00:00:00","Ida Clair",29.90,0,"Business Meals","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance",Dinner,yes,USD,29.90,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002504&amount=-2990&created=2016-12-12
"2016-12-09 00:00:00",Uber,18.09,0,"Local Transportation","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance","Uber office to DFW for myself and Blake Norrish",yes,USD,18.09,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002482&amount=-1809&created=2016-12-09
"2016-12-09 00:00:00","American Airlines",24.79,0,"Business Meals","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance",Dinner,yes,USD,24.79,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002486&amount=-2479&created=2016-12-09
"2016-12-09 00:00:00","Taco Diner",97.19,0,"Business Meals","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance","Lunch for myself, Max Griffiths, Blake Norrish, Charith Tangirala, Timothy Akampa, Bryan Kroger",yes,USD,97.19,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002493&amount=-9719&created=2016-12-09
"2016-12-09 00:00:00","Dunn Brothers",9.66,0,"Business Meals","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance","Breakfast for myself, Max Griffiths",yes,USD,9.66,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002494&amount=-966&created=2016-12-09
"2016-12-09 00:00:00",Courtyard,4.79,0,"Business Meals","Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Delivery Assurance",Breakfast,yes,USD,4.79,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002495&amount=-479&created=2016-12-09
"2016-12-09 00:00:00","Port Of Portland",50.00,0,Mileage/Parking/Tolls,"Neiman Marcus Group Inc:NMG P4G Design/Deliver Phase:NMG P4G Design/Deliver Phase:Travel","Parking at PDX",yes,USD,50.00,https://salesforce.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=7871304959002497&amount=-5000&created=2016-12-09
